District,Case ID,Application Type,ERF Number,ISIS Key,Locality Address,Allotment Area,Status Description,Plan Cat. Primary,Plan Category Public,Plan Cat. Second,Building Work Description,Typo Work Description,Total Area,Building Work Value,Building Work Value Group,Number of Units,RDP/LCH Indicator,Submission Date,Approved Date,Commencement Date,Completion Date,Year,Area 2
Tygerberg,70347430,Building Plan > 500m2,15856,546320,"8 Fiddlewood place, sonstraal heights",BELLVILLE,Work Commenced,Residential,Private,Block of Flats,Other,Block of Flats,"8,257","68,383,890.00",50 million+,133,No,03/05/2017,20/04/2018,14/02/2019,,2017,TYGER NORTHERN SUBURBS
Tygerberg,70296108,Building Plan > 500m2,21712,626651,"c/o Picton Street and King Edward Road, Parow",PAROW,Work Commenced,Residential,Private,Block of Flats,Flats,Student Accommodation https://mystudenthouse.co.za/picton-apartments/,"8,469","63,703,640.00",50 million+,102,No,02/09/2016,28/03/2017,01/11/2017,,2016,PAROW
Northern,70023343,Building Plan > 500m2,39212,793328,4 BRIDAL CLOSE  TYGERVALLEY WATERFRONT,BELLVILLE,Certificate Issued,Non Residential,Private,Office/Bank Space,Offices,Offices,"9,382","63,120,610.00",50 million+,1,No,06/09/2013,30/11/2013,04/12/2013,11/09/2015,2013,TYGERVALLEY
Tygerberg,70310874,Building Plan > 500m2,40229,10964486,157 FRANS CONRADIE DRIVE  OOSTERZEE-BELLVILLE,BELLVILLE,Certificate Issued,Residential,Private,Block of Flats,Flats,St. Johannis Lifestyle Estate,"8,198","56,656,340.00",50 million+,46,No,25/08/2016,22/11/2016,23/11/2016,16/11/2017,2016,BELLVILLE
Northern,70383459,Building Plan > 500m2,40968,61285333,10 SOPRANO STREET  DOOR DE KRAAL FARM,BELLVILLE,Certificate Issued,Non Residential,Private,Office/Bank Space,Offices,,"5,989","52,403,750.00",50 million+,1,No,22/02/2018,19/07/2018,26/10/2018,21/11/2019,2018,TYGER NORTHERN SUBURBS
Northern,70170841,Building Plan > 10 000m2,1201,955018,47 TYGERBERG VALLEY ROAD ,KENRIDGE,Certificate Issued,Non Residential,Private,Tourism,Shops,Shops,"15,791","52,110,300.00",50 million+,1,No,06/06/2005,27/10/2005,02/11/2005,24/03/2009,2005,TYGERVALLEY
Tygerberg,70422795,Building Plan > 500m2,41208,77484841,14 LINDA STREET  DE LA HAYE,BELLVILLE,Certificate Issued,Residential,Private,Block of Flats,Flats,,"6,106","49,046,760.00",10 - 50 million,36,No,03/09/2019,24/01/2020,30/01/2020,09/12/2020,2019,BELLVILLE
Tygerberg,70286167,Building Plan > 500m2,40157,36004693,,GOODWOOD,Work Complete,Additions and Alterations,Private,Non Residential,Other,"Office Extension, Parking Deck","6,020","47,026,550.00",10 - 50 million,1,No,04/04/2016,30/05/2017,15/11/2018,15/11/2018,2016,GOODWOOD
Tygerberg,70474375,Building Plan > 500m2,41251,85262324,,BELLVILLE,Certificate Issued,Non Residential,Private,Industrial Warehouse,Other,"Warehouse, Wall, Offices","5,949","41,964,840.00",10 - 50 million,1,No,01/10/2019,27/11/2019,18/02/2020,09/12/2020,2019,BELLVILLE
Tygerberg,70188866,Building Plan > 500m2,40749,21423257,,BELLVILLE,Certificate Issued,Non Residential,Private,Industrial Warehouse,Other,"Warehouse, Fence","6,171","41,547,210.00",10 - 50 million,1,No,29/01/2015,11/02/2015,26/02/2015,22/05/2017,2015,STIKLAND INDUSTRIA
Northern,70366540,Building Plan > 500m2,40779,30786597,109 JIP DE JAGER DRIVE  DOOR DE KRAAL FARM,BELLVILLE,Certificate Issued,Non Residential,Private,Office/Bank Space,Other,"Offices, Carport, Wall","5,288","41,128,500.00",10 - 50 million,3,No,03/10/2017,30/01/2018,13/02/2018,15/10/2018,2017,TYGER NORTHERN SUBURBS
Tygerberg,70235689,Building Plan > 500m2,39846,19786303,,BELLVILLE,Work Commenced,Non Residential,Private,Industrial Warehouse,Factory,,"6,050","40,595,500.00",10 - 50 million,1,No,08/04/2015,22/09/2017,01/07/2019,,2015,BELLVILLE
Northern,70016697,Building Plan > 500m2,36081,800740,55 WILLIE VAN SCHOOR AVENUE  TYGERVALLEY,BELLVILLE,Certificate Issued,Non Residential,Private,Office/Bank Space,Offices,Offices,"9,100","40,595,000.00",10 - 50 million,1,No,20/04/2011,26/08/2011,05/10/2011,11/09/2014,2011,TYGERVALLEY
Tygerberg,70010575,Building Plan < 500m2,10777,634722,16 MIKE PIENAAR BOULEVARD  OOSTERZEE,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Other,Emergency Centre Refurbishing,0,"36,000,000.00",10 - 50 million,1,No,02/11/2011,27/01/2012,03/05/2012,,2011,BELLVILLE
Tygerberg,70127649,Building Plan < 500m2,19801,624901,"147 N1, A FREEWAY  AVONDALE",PAROW,Certificate Issued,Additions and Alterations,Private,Non Residential,Office Extension,Office Extension,"8,569","35,732,730.00",10 - 50 million,1,No,27/05/2008,12/12/2008,03/04/2009,02/03/2012,2008,PAROW
Tygerberg,70114774,Building Plan < 500m2,39270,805946,155 DURBAN ROAD  OAKDALE,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Non Residential,Office Extension,Office Extension,"3,950","35,300,000.00",10 - 50 million,1,No,05/05/2009,14/08/2009,18/08/2009,,2009,BELLVILLE
Tygerberg,70042805,Building Plan > 10 000m2,9613,568006,27 2ND AVENUE   ELSIES RIVER INDUSTRIA,GOODWOOD,Work Commenced,Residential,Private,Block of Flats,Other,Block of Flats,"15,364","35,029,920.00",10 - 50 million,282,No,05/03/2012,27/09/2012,02/12/2013,,2012,ELSIES RIVER INDUSTRIA
Tygerberg,70428153,Building Plan > 500m2,40128,21166937,2 1ST AVENUE  ELSIES RIVER INDUSTRIA,GOODWOOD,Work Commenced,Residential,Private,Block of Flats,Other,Flats,"4,251","34,900,710.00",10 - 50 million,73,No,29/10/2018,06/06/2019,02/08/2019,,2018,ELSIES RIVER INDUSTRIA
Tygerberg,70524494,Building Plan > 500m2,41223,85918679,3 BUHAN STREET   STIKLAND INDUSTRIA,BELLVILLE,Work Commenced,Non Residential,Private,Industrial Warehouse,Factory,,"4,890","34,451,700.00",10 - 50 million,1,No,18/11/2020,24/02/2021,04/03/2021,,2020,STIKLAND INDUSTRIA
Tygerberg,70459415,Building Plan > 500m2,13552,637209,8 LA BELLE ROAD   STIKLAND INDUSTRIA,BELLVILLE,Application Approved,Non Residential,Private,Industrial Warehouse,Other,Warehouse,"5,719","34,315,130.00",10 - 50 million,1,No,26/07/2019,06/11/2020,,,2019,STIKLAND INDUSTRIA
Tygerberg,70386094,Building Plan > 500m2,39839,1035863,1 LA BELLE ROAD  STIKLAND INDUSTRIA,BELLVILLE,Work Commenced,Non Residential,Private,Industrial Warehouse,Factory,,"4,876","34,229,520.00",10 - 50 million,1,No,22/12/2017,02/10/2018,21/06/2019,,2017,STIKLAND INDUSTRIA
Tygerberg,70542058,Building Plan > 500m2,32775,655520,11 SPANISH OAK STREET   OAKGLEN,BELLVILLE,In Circulation,Residential,Private,Block of Flats,Other,"Block of Flats, Wall","4,063","33,401,330.00",10 - 50 million,53,No,31/03/2021,,,,2021,BELLVILLE
Tygerberg,70020464,Building Plan > 500m2,23255,627845,9 FAIRWAY CLOSE  PAROW GOLF COURSE,PAROW,Certificate Issued,Non Residential,Private,Office/Bank Space,Other,Laboratory,"4,291","32,740,330.00",10 - 50 million,1,No,14/12/2012,14/03/2013,28/06/2013,12/01/2017,2012,PAROW
Tygerberg,70191181,Building Plan > 500m2,24602,14310912,4C FRANCIE VAN ZIJL DRIVE  TYGERBERG HOSPITAL,PAROW,Certificate Issued,Residential,Private,Other Residential Buildings,Other,Student Accomodation,"4,042","32,740,200.00",10 - 50 million,200,No,09/03/2015,19/05/2015,09/06/2016,14/07/2016,2015,BELLVILLE CBD
Tygerberg,70157827,Building Plan > 500m2,40760,34801777,23A PETRUSA STREET  BELGRAVIA -BELLVILLE,BELLVILLE,Work Commenced,Residential,Private,Block of Flats,Other,"Block of Flats, Wall (52 Units)","4,001","32,541,100.00",10 - 50 million,52,No,25/08/2014,23/04/2015,03/05/2016,,2014,BELLVILLE
Tygerberg,70445276,Building Plan > 500m2,40128,21166937,2 1ST AVENUE   ELSIES RIVER INDUSTRIA,GOODWOOD,Work Commenced,Residential,Private,Block of Flats,Flats,,"3,950","32,429,500.00",10 - 50 million,64,No,30/04/2019,02/10/2019,06/12/2019,,2019,ELSIES RIVER INDUSTRIA
Tygerberg,70320355,Building Plan > 500m2,24602,14310912,4C FRANCIE VAN ZIJL DRIVE  TYGERBERG HOSPITAL,PAROW,Work Commenced,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"30,840,482.40",10 - 50 million,1,No,18/11/2016,19/05/2017,12/12/2017,,2016,BELLVILLE CBD
Tygerberg,70388528,Building Plan > 500m2,19443,548655,73 ELSIES RIVER HALT ROAD  RIVERTON ELSIES RIVER,GOODWOOD,Work Commenced,Additions and Alterations,Private,Block of Flats,Other,Mixed use: Addition of Flats and Shops,"2,918","29,156,780.00",10 - 50 million,108,No,29/03/2018,23/07/2018,01/11/2018,,2018,GOODWOOD
Tygerberg,70278146,Building Plan > 500m2,28975,652084,80 OLD PAARL ROAD  GROENVALLEI,BELLVILLE,Certificate Issued,Residential,Private,Block of Flats,Other,Flats,"3,500","28,835,650.00",10 - 50 million,64,No,12/02/2016,29/06/2016,25/07/2016,24/05/2017,2016,BELLVILLE
Tygerberg,70442957,Building Plan > 500m2,41211,83442380,11 VIRO CRESCENT   STIKLAND INDUSTRIA,BELLVILLE,Certificate Issued,Non Residential,Private,Industrial Warehouse,Factory,,"4,080","28,641,600.00",10 - 50 million,1,No,20/02/2019,15/07/2019,01/08/2019,09/09/2019,2019,STIKLAND INDUSTRIA
Tygerberg,70011968,Building Plan < 500m2,25285,648316,7 BROADWAY STREET  VREDELUST BELLVILLE,BELLVILLE,Work Commenced,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"28,247,000.00",10 - 50 million,1,No,22/07/2010,03/02/2011,14/02/2011,,2010,BELLVILLE
Tygerberg,70521392,Building Plan > 500m2,41267,86727056,40 VOORTREKKER ROAD   HARDEKRAALTJIE,BELLVILLE,Application Approved,Residential,Private,Other Residential Buildings,Other,Student Accommodation,"3,420","28,078,200.00",10 - 50 million,1,No,23/10/2020,10/12/2020,,,2020,BELLVILLE
Tygerberg,70023907,Building Plan > 500m2,21043,549953,19 SCHOOL ROAD   RIVERTON ELSIES RIVER,GOODWOOD,Work Complete,Non Residential,Public,Schools/Technicons/Libraries,Other,School,"4,173","26,039,520.00",10 - 50 million,1,No,06/05/2013,09/07/2013,15/08/2013,28/05/2018,2013,GOODWOOD
Tygerberg,70275071,Building Plan > 500m2,8194,663128,20 MEERLUST STREET  OAKGLEN,BELLVILLE,Certificate Issued,Non Residential,Public,Schools/Technicons/Libraries,Other,"Chere Botha: New School, Swimming Pool, Wall, Carport","3,515","24,951,050.00",10 - 50 million,1,No,14/12/2015,16/08/2017,04/10/2017,20/02/2018,2015,BELLVILLE
Northern,70019095,Building Plan > 500m2,32139,654916,51 WILLIE VAN SCHOOR AVENUE  TYGERVALLEY,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Non Residential,Other,Parking Garage,"4,570","24,678,000.00",10 - 50 million,1,No,19/04/2013,17/05/2013,11/06/2013,30/05/2017,2013,TYGERVALLEY
Tygerberg,70278090,Building Plan > 500m2,24602,14310912,4C FRANCIE VAN ZIJL DRIVE  TYGERBERG HOSPITAL,PAROW,Certificate Issued,Residential,Private,Other Residential Buildings,Other,Student Accommodation,"3,450","24,219,000.00",10 - 50 million,200,No,06/01/2016,10/06/2016,06/10/2016,07/07/2017,2016,BELLVILLE CBD
Tygerberg,70371910,Building Plan > 500m2,40763,27765224,6 RIVERS EDGE PARK NONE  STIKLAND INDUSTRIA,BELLVILLE,Certificate Issued,Non Residential,Private,Industrial Warehouse,Other,Warehouse,"3,408","24,142,840.00",10 - 50 million,1,No,06/10/2017,01/12/2017,09/04/2018,03/06/2019,2017,STIKLAND INDUSTRIA
Tygerberg,70042002,Building Plan > 500m2,40196,1077874,,BELLVILLE,Work Complete,Additions and Alterations,Private,Non Residential,Other,Additional Storey (forth),"3,062","23,852,980.00",10 - 50 million,1,No,24/07/2013,02/09/2013,,16/09/2014,2013,BELLVILLE
Tygerberg,70239020,Building Plan > 500m2,9844,633888,49 CONNAUGHT ROAD  BEACONVALE,PAROW,Work Commenced,Non Residential,Private,Industrial Warehouse,Other,Storage and Internal Alterations,"3,200","23,032,000.00",10 - 50 million,1,No,05/08/2015,06/10/2015,01/10/2017,,2015,BEACONVALE INDUSTRIA
Tygerberg,70479579,Building Plan > 500m2,24602,14310912,4C FRANCIE VAN ZIJL DRIVE   TYGERBERG HOSPITAL,PAROW,Application Approved,Additions and Alterations,Private,Non Residential,Other,Faculty Extension Stellenbosch University Tygerberg Campus,"2,123","22,799,888.20",10 - 50 million,1,No,04/12/2019,30/05/2020,,,2019,BELLVILLE CBD
Tygerberg,70408502,Building Plan > 500m2,40765,27765216,4 RIVERS EDGE PARK NONE   STIKLAND INDUSTRIA,BELLVILLE,Work Commenced,Non Residential,Private,Office/Bank Space,Other,"Offices, Boundary Wall","3,189","22,650,880.00",10 - 50 million,1,No,07/11/2018,20/11/2019,27/05/2020,,2018,STIKLAND INDUSTRIA
Tygerberg,70005025,Building Plan > 500m2,24260,1001108,17 HUGUENOT LANE  PAROW EAST,PAROW,Work Commenced,Additions and Alterations,Private,Non Residential,Office Extension,Office Extension,"5,000","22,250,000.00",10 - 50 million,1,No,21/01/2011,04/08/2011,24/05/2011,,2011,PAROW EAST
Northern,70388960,Building Plan < 500m2,40779,30786597,109 JIP DE JAGER DRIVE  DOOR DE KRAAL FARM,BELLVILLE,Certificate Issued,Non Residential,Private,Office/Bank Space,Offices,,"2,537","21,949,650.00",10 - 50 million,1,No,19/04/2018,17/05/2018,28/05/2018,15/10/2018,2018,TYGER NORTHERN SUBURBS
Tygerberg,70438291,Building Plan > 500m2,40880,77535476,,BELLVILLE,Work Commenced,Non Residential,Private,Industrial Warehouse,Other,Warehouse,"3,111","21,839,220.00",10 - 50 million,1,No,27/12/2018,12/03/2019,10/05/2019,,2018,BELLVILLE
Tygerberg,70347387,Building Plan > 500m2,15413,621082,8 DUIKER ROAD  BEACONVALE,PAROW,Certificate Issued,Non Residential,Private,Industrial Warehouse,Other,Warehouse,"3,059","21,474,180.00",10 - 50 million,1,No,28/04/2017,25/07/2017,01/11/2017,04/04/2018,2017,BEACONVALE INDUSTRIA
Northern,70348454,Minor Works (Circulated),32140,654918,1 SPORTICA CRESCENT  TYGERVALLEY,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Other,Internal Alterations to Shop,0,"20,800,000.00",10 - 50 million,1,No,23/05/2017,17/11/2017,18/12/2018,11/04/2019,2017,TYGERVALLEY
Tygerberg,70007238,Building Plan < 500m2,9866,633894,31 JAN SMUTS STREET  BEACONVALE,PAROW,Work Complete,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"20,722,381.32",10 - 50 million,1,No,17/01/2012,17/02/2012,04/01/2013,14/04/2014,2012,BEACONVALE INDUSTRIA
Tygerberg,70384620,Building Plan > 500m2,20949,644018,8 AMPERE STREET   STIKLAND INDUSTRIA,BELLVILLE,Application Approved,Non Residential,Private,Industrial Warehouse,Other,Warehouse,"2,872","20,161,440.00",10 - 50 million,1,No,27/12/2017,12/08/2020,,,2017,STIKLAND INDUSTRIA
Tygerberg,70287706,Building Plan > 500m2,40766,27765214,3 RIVERS EDGE PARK NONE   STIKLAND INDUSTRIA,BELLVILLE,Work Commenced,Additions and Alterations,Private,Non Residential,Other,"Workshop Extension, Wall","2,833","20,068,900.00",10 - 50 million,1,No,05/05/2016,02/03/2020,26/05/2020,,2016,STIKLAND INDUSTRIA
Northern,70119194,Building Plan < 500m2,39006,782881,12 WATERFRONT ROAD  TYGERVALLEY WATERFRONT,BELLVILLE,Certificate Issued,Non Residential,Private,Schools/Technicons/Libraries,Shops,Shops,"3,585","19,000,000.00",10 - 50 million,1,No,10/06/2002,06/12/2002,24/06/2002,04/07/2003,2002,TYGERVALLEY
Tygerberg,70462461,Building Plan > 500m2,16859,546797,293 VOORTREKKER ROAD   RICHMOND ESTATE,GOODWOOD,Work Commenced,Additions and Alterations,Private,Town House/Flats/Other Residen,Other,"Flats Addition, Refuse Area, Internal Alterations","2,218","18,859,780.00",10 - 50 million,28,No,07/02/2020,10/07/2020,01/09/2020,,2020,GOODWOOD
Tygerberg,70033719,Building Plan > 500m2,15348,621042,,PAROW,Work Complete,Residential,Private,Other Residential Buildings,Other,New Student Residence,"3,131","18,801,000.00",10 - 50 million,1,No,27/06/2012,02/08/2012,03/09/2012,24/04/2013,2012,PAROW
Tygerberg,70172339,Building Plan > 500m2,31675,635607,2C TIENIE MEYER BY-PASS  TRANSNET MARSHALLING YARD,BELLVILLE,Work Commenced,Non Residential,Private,Office/Bank Space,Other,"New RM & TCC Building, Carport","2,552","18,505,240.00",10 - 50 million,1,No,10/10/2014,22/05/2017,04/07/2017,,2014,BELLVILLE CBD
Tygerberg,70404231,Building Plan > 500m2,24844,71961687,36 KING EDWARD ROAD  PAROW,PAROW,Work Commenced,Residential,Private,Block of Flats,Other,"Block of Flats, Boundary Wall","2,055","18,474,550.00",10 - 50 million,46,No,21/05/2018,30/08/2018,04/06/2019,,2018,PAROW
Tygerberg,70490980,Building Plan > 500m2,40872,77535450,1 SQUARE STREET   STIKLAND INDUSTRIA,BELLVILLE,Work Commenced,Non Residential,Private,Industrial Warehouse,Other,"Warehouse, Wall","2,593","18,251,700.00",10 - 50 million,1,No,05/02/2020,04/02/2021,08/02/2021,,2020,STIKLAND INDUSTRIA
Tygerberg,70035555,Building Plan > 500m2,19801,624901,"147 N1, A FREEWAY  AVONDALE",PAROW,Work Complete,Additions and Alterations,Private,Non Residential,Office Extension,Office Extension,"3,939","17,528,550.00",10 - 50 million,1,No,24/03/2010,22/02/2011,09/06/2011,14/03/2012,2010,PAROW
Tygerberg,70424279,Building Plan > 500m2,36571,69027046,8 VAN REENEN STREET  RICHMOND,GOODWOOD,Work Commenced,Residential,Private,Block of Flats,Flats,,"2,100","17,241,000.00",10 - 50 million,40,No,12/10/2018,17/01/2020,23/03/2021,,2018,GOODWOOD
Tygerberg,70449605,Building Plan > 500m2,39337,723015,2 COLEMAN STREET   ELSIES RIVER INDUSTRIA,GOODWOOD,Work Complete,Non Residential,Private,Industrial Warehouse,Other,Warehouse Units,"2,440","17,134,550.00",10 - 50 million,1,No,04/04/2019,07/08/2019,13/08/2019,02/10/2020,2019,ELSIES RIVER INDUSTRIA
Tygerberg,70408488,Building Plan > 500m2,40764,27765220,5 RIVERS EDGE PARK NONE   STIKLAND INDUSTRIA,BELLVILLE,Work Commenced,Non Residential,Private,Industrial Warehouse,Factory,,"2,402","17,101,440.00",10 - 50 million,1,No,06/08/2018,23/10/2019,27/05/2020,,2018,STIKLAND INDUSTRIA
Northern,70461779,Building Plan > 500m2,23975,448491,10 MISPEL WAY   TYGERVALLEY,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Other,Internal Alts_Non Residential offices,0,"16,902,600.00",10 - 50 million,1,No,03/07/2019,15/08/2019,26/08/2019,30/08/2019,2019,TYGERVALLEY
Tygerberg,70443358,Building Plan > 500m2,40858,77535356,,BELLVILLE,Certificate Issued,Non Residential,Private,Industrial Warehouse,Other,"Warehouse, Wall","2,384","16,855,380.00",10 - 50 million,1,No,06/02/2019,20/09/2019,07/10/2019,25/03/2020,2019,BELLVILLE
Tygerberg,70046653,Building Plan > 500m2,21712,626651,,PAROW,Work Commenced,Residential,Private,Block of Flats,Other,Block of Flats,"2,423","16,678,650.00",10 - 50 million,35,No,18/09/2012,23/07/2013,04/03/2019,,2012,PAROW
Northern,70482203,Building Plan > 500m2,23975,448491,10 MISPEL WAY   TYGERVALLEY,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Other,Internal Alts_Office,0,"16,421,600.00",10 - 50 million,1,No,28/11/2019,24/12/2019,29/01/2020,18/02/2020,2019,TYGERVALLEY
Tygerberg,70078927,Building Plan > 500m2,9020,633300,262 JEAN SIMONIS STREET  PAROW EAST,PAROW,Work Commenced,Additions and Alterations,Private,Non Residential,Other,Additions and Alterations,"1,541","16,406,190.00",10 - 50 million,1,No,27/06/2014,04/09/2014,08/05/2015,,2014,PAROW EAST
Tygerberg,70200388,Building Plan > 500m2,23182,699486,11 JEAN SIMONIS STREET  PAROW EAST,PAROW,Certificate Issued,Additions and Alterations,Private,Non Residential,,Additions & Alterations,"3,757","16,230,240.00",10 - 50 million,1,No,19/10/2009,23/04/2010,25/05/2010,,2009,PAROW EAST
Tygerberg,70431223,Building Plan > 500m2,40860,77535360,9 BELL STREET   STIKLAND INDUSTRIA,BELLVILLE,Certificate Issued,Non Residential,Private,Industrial Warehouse,Other,"Warehouse, Wall, Canopy","2,532","16,196,520.00",10 - 50 million,1,No,06/11/2018,02/04/2020,26/05/2020,05/03/2021,2018,STIKLAND INDUSTRIA
Tygerberg,70489619,Building Plan > 500m2,32939,560492,259 VOORTREKKER ROAD   VASCO ESTATE,GOODWOOD,Work Commenced,Additions and Alterations,Private,Internal Alterations,Other,Conversion of Reservoir into Archives,0,"15,600,000.00",10 - 50 million,1,No,22/01/2020,18/02/2020,23/03/2021,,2020,GOODWOOD
Tygerberg,70487074,Building Plan > 500m2,15418,621084,1 DUIKER ROAD   KLIPKOP,PAROW,Application Approved,Additions and Alterations,Private,Non Residential,Other,Internal Alterations:  Block B South African Medical Researc,0,"15,275,000.00",10 - 50 million,1,No,03/02/2020,03/04/2020,,,2020,PAROW
Tygerberg,70463282,Building Plan > 500m2,40329,35287485,,BELLVILLE,Application Approved,Residential,Private,Block of Flats,Flats,,"1,772","14,582,770.00",10 - 50 million,30,No,19/07/2019,16/03/2021,,,2019,BELLVILLE
Tygerberg,70000028,Building Plan > 500m2,21087,644145,1 AANDBLOM STREET  BLOMTUIN,BELLVILLE,Work Complete,Non Residential,Public,Industrial Warehouse,Other,Workshops and Offices,"1,731","14,505,780.00",10 - 50 million,1,No,01/04/2014,06/05/2014,11/06/2014,09/09/2015,2014,BELLVILLE
