Case ID,Plan Cat. Primary,Plan Category Public,Plan Cat. Second,Building Work Description,Typo Work Description,Total Area,Building Work Value,Number of Units,Year,Area 2
70172339,Non Residential,Private,Office/Bank Space,Other,"New RM & TCC Building, Carport",2552,18505240,1,2014,BELLVILLE CBD
70404231,Residential,Private,Block of Flats,Other,"Block of Flats, Boundary Wall",2055,18474550,46,2018,PAROW
70490980,Non Residential,Private,Industrial Warehouse,Other,"Warehouse, Wall",2593,18251700,1,2020,STIKLAND INDUSTRIA
70035555,Additions and Alterations,Private,Non Residential,Office Extension,Office Extension,3939,17528550,1,2010,PAROW
70424279,Residential,Private,Block of Flats,Flats,,2100,17241000,40,2018,GOODWOOD
70449605,Non Residential,Private,Industrial Warehouse,Other,Warehouse Units,2440,17134550,1,2019,ELSIES RIVER INDUSTRIA
70408488,Non Residential,Private,Industrial Warehouse,Factory,,2402,17101440,1,2018,STIKLAND INDUSTRIA
70461779,Additions and Alterations,Private,Internal Alterations,Other,Internal Alts_Non Residential offices,0,16902600,1,2019,TYGERVALLEY
70443358,Non Residential,Private,Industrial Warehouse,Other,"Warehouse, Wall",2384,16855380,1,2019,BELLVILLE
70046653,Residential,Private,Block of Flats,Other,Block of Flats,2423,16678650,35,2012,PAROW
70482203,Additions and Alterations,Private,Internal Alterations,Other,Internal Alts_Office,0,16421600,1,2019,TYGERVALLEY
70078927,Additions and Alterations,Private,Non Residential,Other,Additions and Alterations,1541,16406190,1,2014,PAROW EAST
70200388,Additions and Alterations,Private,Non Residential,,Additions & Alterations,3757,16230240,1,2009,PAROW EAST
70431223,Non Residential,Private,Industrial Warehouse,Other,"Warehouse, Wall, Canopy",2532,16196520,1,2018,STIKLAND INDUSTRIA
70489619,Additions and Alterations,Private,Internal Alterations,Other,Conversion of Reservoir into Archives,0,15600000,1,2020,GOODWOOD
70487074,Additions and Alterations,Private,Non Residential,Other,Internal Alterations:  Block B South African Medical Researc,0,15275000,1,2020,PAROW
70463282,Residential,Private,Block of Flats,Flats,,1772,14582770,30,2019,BELLVILLE
70000028,Non Residential,Public,Industrial Warehouse,Other,Workshops and Offices,1731,14505780,1,2014,BELLVILLE
70474291,Residential,Private,Block of Flats,Flats,,1735,14255550,25,2019,PAROW
70451249,Additions and Alterations,Private,Internal Alterations,Other,Internal Alterations:  Middestad Mall,0,14252784,1,2019,BELLVILLE CBD
70109965,Non Residential,Private,Industrial Warehouse,Other,Storage Buildings,1781,13948870,1,2014,BELLVILLE
70357705,Additions and Alterations,Private,Town House/Flats/Other Residen,Flats,,1969,13941540,16,2017,BELLVILLE
70438735,Non Residential,Private,Office/Bank Space,Offices,,1958,13821000,1,2019,BELLVILLE
70391303,Additions and Alterations,Private,Non Residential,Other,"Extension, Internal Alterations, Covered walk way, Wall",214,13697428,1,2018,BELLVILLE
70023689,Residential,Private,Block of Flats,Other,"""Block of Flats, Wall""",2315,13528200,32,2013,BELLVILLE
70021038,Non Residential,Public,All Other Space,Other,COURTESY PLAN - Station Addition,1653,12876870,1,2012,BELLVILLE CBD
70130839,Residential,Private,Block of Flats,Flats,,2921,12767960,55,2008,PAROW
70310876,Additions and Alterations,Private,Internal Alterations,Other,Internal Alterations to UWC Bellville Medical Centre,0,12641200,1,2017,BELLVILLE CBD
70309559,Non Residential,Private,Industrial Warehouse,Other,"New Factory, Offices, Carport, Wall",2050,12591150,1,2016,PAROW
70295443,Additions and Alterations,Private,Non Residential,Other,"Internal Alterations, Lift Shaft, Loading Bay",126,12544860,1,2016,BELLVILLE CBD
70042667,Additions and Alterations,Private,Non Residential,Office Extension,Office Extension,2091,11563230,1,2013,TYGERVALLEY
70486477,Non Residential,Private,All Other Space,Other,"New Laboratory, Wall",1600,11429380,1,2019,STIKLAND INDUSTRIA
70029331,Additions and Alterations,Private,Non Residential,Other,"""Additions, Alterations""",2526,11240700,1,2010,BELLVILLE
70519533,Non Residential,Private,Industrial Warehouse,Other,Warehouse and Offices to Industrial Building,1550,11152050,1,2020,STIKLAND INDUSTRIA
70006296,Residential,Private,Block of Flats,Other,Flats & Wall,2628,11108170,48,2010,PAROW
70080359,Additions and Alterations,Private,Non Residential,Other,"""Additions, Alterations""",327,11014770,1,2010,PAROW
70224666,Additions and Alterations,Private,Non Residential,,Office Extension,17175,11000000,1,2002,TYGER NORTHERN SUBURBS
70440489,Non Residential,Private,Industrial Warehouse,Factory,,1538,10892350,1,2019,BELLVILLE
70392591,Additions and Alterations,Private,Town House/Flats/Other Residen,Flats,,1291,10839610,1,2018,GOODWOOD
70014271,Non Residential,Private,All Other Space,Other,2 x Lecture Theatres,1762,10765820,1,2012,PAROW
70322632,Non Residential,Public,All Other Space,Other,Offices:  Collections Branch for Solid Waste Management,1323,10663590,1,2016,PAROW
70258458,Additions and Alterations,Private,Non Residential,Other,Additions and Alterations to Car Dealership,475,10657600,1,2015,BELLVILLE
70332520,Additions and Alterations,Private,Non Residential,Other,"Shops Extension, Internal Alterations, Covered Area",1396,9733920,1,2017,TYGER NORTHERN SUBURBS
70003254,Additions and Alterations,Private,Non Residential,Other,Library and Conference Room to,164,9621580,1,2014,TYGER NORTHERN SUBURBS
70375319,Residential,Private,Other Residential Buildings,Other,Ajax Soccer Academy Hostel and Swimming Pool,1388,9567760,1,2017,PAROW
70483572,Residential,Private,Block of Flats,Other,Block of Flats,1157,9516020,20,2020,BELLVILLE
70046769,Additions and Alterations,Private,Non Residential,Other,"""Additions,  Alts to Existing Em",441,9435390,1,2013,PAROW
70278209,Non Residential,Private,Office/Bank Space,Offices,,1059,9266250,1,2016,BELLVILLE
70154548,Residential,Private,Block of Flats,Other,18 x Flats,1105,9223360,18,2014,BELLVILLE
70349984,Residential,Private,Block of Flats,Flats,,1109,9167890,18,2017,PAROW
70107326,Non Residential,Private,Shopping Space,Other,Church,1505,9105250,1,2012,TYGER NORTHERN SUBURBS
70354835,Residential,Private,Town House,Other,Town House Development,5953,9000000,49,2000,TYGER NORTHERN SUBURBS
70010052,Additions and Alterations,Private,Non Residential,Office Extension,Office Extension,2375,8977500,1,2008,GOODWOOD
70024806,Additions and Alterations,Private,Non Residential,Factory Extension,,1650,8910000,1,2007,BELLVILLE
70341125,Non Residential,Private,Office/Bank Space,Offices,,1017,8898750,1,2017,TYGER NORTHERN SUBURBS
70019160,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,8898550,1,2012,TYGER NORTHERN SUBURBS
70520962,Additions and Alterations,Private,Non Residential,Other,Additions and Internal Alterations to Warehouse,400,8658000,0,2020,BEACONVALE INDUSTRIA
70152693,Additions and Alterations,Private,Non Residential,Shop Extension,,1019,8609883,1,2014,PAROW
70292666,Residential,Private,Dwelling Houses,Other,"Dwelling, Pool, Wall",1203,8539180,1,2016,TYGER NORTHERN SUBURBS
70494235,Residential,Private,Block of Flats,Other,"Block of flats, Wall",1023,8516630,14,2020,PAROW
70330565,Additions and Alterations,Private,Town House/Flats/Other Residen,Other,Flats Additions,1018,8357780,20,2017,PAROW
70099275,Residential,Private,Other Residential Buildings,Other,Student Residence,1251,8334800,1,2012,PAROW
70020039,Non Residential,Private,Office/Bank Space,Other,Office Ground Floor,1088,8301440,1,2013,TYGERVALLEY
70130852,Additions and Alterations,Private,Non Residential,Other,Roof Covering,2193,8289540,1,2008,TYGERVALLEY
70359709,Additions and Alterations,Private,Town House/Flats/Other Residen,Other,New Apartments on Existing Building,1009,8283890,10,2017,BELLVILLE
70222307,Additions and Alterations,Private,Non Residential,Factory Extension,,1192,8272720,1,2015,BEACONVALE INDUSTRIA
70315001,Additions and Alterations,Private,Non Residential,Factory Extension,,1075,8222500,1,2016,STIKLAND INDUSTRIA
70537123,Residential,Private,Dwelling Houses,Dwelling,,1160,8189600,1,2021,TYGER NORTHERN SUBURBS
70023190,Non Residential,Private,Industrial Warehouse,Other,Warehouse,1480,8184400,1,2013,TYGERVALLEY
70466357,Additions and Alterations,Private,Non Residential,Other,"Warehouse Extension, Fence",1156,8161740,1,2020,BELLVILLE
70262348,Additions and Alterations,Private,Non Residential,Shop Extension,,926,8102500,1,2017,PAROW
70011912,Non Residential,Private,Industrial Warehouse,Factory,,1819,8094550,1,2010,STIKLAND INDUSTRIA
70172091,Non Residential,Private,Schools/Hospitals/Libraries,Other,New Day Clinic and Internal Alterations,961,8038387,1,2014,PAROW
70354346,Additions and Alterations,Private,Town House/Flats/Other Residen,Other,Addition to Frailcare Centre,1140,8014200,1,2017,PAROW
70050829,Other Approvals,Private,Other,Other,Fire Safety Upgrade,0,8000000,1,2013,PAROW
70057799,Other Approvals,Private,Other,Other,Reservoir,0,8000000,1,2012,TYGER NORTHERN SUBURBS
70004970,Additions and Alterations,Private,Non Residential,Other,Toilets,0,7786614,1,2009,TYGERVALLEY
70406358,Additions and Alterations,Private,Non Residential,Other,Addition to Existing Car Dealership,620,7765000,1,2018,BELLVILLE
70041659,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,7581000,1,2013,PAROW EAST
70285933,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,7540000,1,2016,BELLVILLE
70473366,Residential,Private,Dwelling Houses,Dwelling,,1230,7537540,1,2019,TYGER NORTHERN SUBURBS
70457577,Additions and Alterations,Private,Town House/Flats/Other Residen,Other,"Student Residence, Internal Alterations",897,7528820,1,2019,BELLVILLE
70106727,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,7481108,1,2013,PAROW EAST
70326914,Non Residential,Private,Industrial Warehouse,Factory,,1040,7311510,1,2017,BEACONVALE INDUSTRIA
70024181,Additions and Alterations,Private,Dwelling Houses,Other,"""Dwelling Extension,  Internal A",360,7300400,1,2013,ELSIES RIVER INDUSTRIA
70322990,Additions and Alterations,Private,Internal Alterations,Other,Internal Alterations to Stikland Hospital,0,7254000,1,2016,STIKLAND INDUSTRIA
70105695,Additions and Alterations,Private,Non Residential,Other,"""Warehouse Extension, Internal A",1362,7196880,1,2012,BELLVILLE
70028245,Non Residential,Public,Hospitals/Clinics,Other,COURTESY PLAN: Karl Bremer Hospital Bulk Storage,1068,7166280,1,2014,BELLVILLE
70020372,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,7159000,1,2013,BELLVILLE CBD
70020372,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,7159000,1,2013,BELLVILLE CBD
70020372,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,7159000,1,2013,BELLVILLE CBD
70075278,Additions and Alterations,Private,Non Residential,Other,Addition and Alteration to Existing Showroom,914,7120060,1,2014,PAROW
70075278,Additions and Alterations,Private,Non Residential,Other,Addition and Alteration to Existing Showroom,914,7120060,1,2014,PAROW
70075278,Additions and Alterations,Private,Non Residential,Other,Addition and Alteration to Existing Showroom,914,7120060,1,2014,PAROW
70081915,Additions and Alterations,Private,Non Residential,Factory Extension,,1750,7070000,1,2010,PAROW EAST
70074206,Residential,Private,Block of Flats,Flats,,1121,6995040,19,2014,PAROW
70440158,Non Residential,Private,Industrial Warehouse,Other,"Warehouse, Covered Area, Fence",1035,6841840,1,2019,STIKLAND INDUSTRIA
70410524,Additions and Alterations,Private,Non Residential,Other,Warehouse Extensions,945,6798220,1,2018,STIKLAND INDUSTRIA
70028314,Non Residential,Private,Industrial Warehouse,Other,"Offices, Factory, Wall",979,6569090,1,2014,BEACONVALE INDUSTRIA
70508999,Residential,Private,Dwelling Houses,Other,"Dwelling, Pool & Wall",934,6550240,1,2020,TYGER NORTHERN SUBURBS
70439180,Additions and Alterations,Private,Dwelling Houses,Other,"Granny Flat, Wall, Carport",99,6523760,1,2019,BELLVILLE
70050838,Other Approvals,Private,Other,Other,Hockey pitch,0,6500000,1,2013,BELLVILLE
70091331,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,6500000,1,2011,PAROW
70456168,Additions and Alterations,Private,Non Residential,Factory Extension,,924,6486480,1,2019,BELLVILLE
70448543,Residential,Private,Block of Flats,Other,"Flats, Covered Parking, Wall",777,6442170,8,2019,PAROW
70175338,Residential,Private,Block of Flats,Flats,,774,6318400,11,2014,PAROW
70006457,Additions and Alterations,Private,Internal Alterations,Other,Temporary Structure,0,6241656,1,2011,TYGERVALLEY
70300306,Non Residential,Private,Industrial Warehouse,Factory,,875,6239800,1,2018,STIKLAND INDUSTRIA
70005161,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,6212000,1,2011,BELLVILLE
70005161,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,6212000,1,2011,BELLVILLE
70005161,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,6212000,1,2011,BELLVILLE
70454971,Additions and Alterations,Private,Non Residential,Other,"Additions & Internal Alterations to Shop, Canopy",61,6161150,1,2019,BELLVILLE
70393495,Residential,Private,Dwelling Houses,Dwelling,,846,6131760,1,2018,TYGER NORTHERN SUBURBS
70276793,Additions and Alterations,Private,Non Residential,Factory Extension,,873,6128460,1,2016,BEACONVALE INDUSTRIA
70421915,Additions and Alterations,Private,Non Residential,Factory Extension,,869,6100380,1,2018,STIKLAND INDUSTRIA
70366953,Residential,Private,Other Residential Buildings,Other,Student Accomodation (Nursing Hostel)),738,6058980,1,2017,BELLVILLE
70042663,Additions and Alterations,Private,Non Residential,Other,Church Extension,966,6027840,1,2012,BELLVILLE
70496122,Other Approvals,Private,Other,Other,Pump & Diesel Tank Installation at Service Station,0,6000000,1,2020,STIKLAND INDUSTRIA
70391944,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,508,5963280,1,2018,TYGER NORTHERN SUBURBS
70362538,Residential,Private,Block of Flats,Flats,,839,5856970,11,2017,BELLVILLE
70410267,Non Residential,Private,Shopping Space,Other,Shop at Service Station,657,5796010,1,2018,BELLVILLE
70239989,Residential,Private,Dwelling Houses,Other,"Dwelling, Pool",860,5609920,1,2015,TYGER NORTHERN SUBURBS
70397854,Residential,Private,Dwelling Houses,Dwelling,,762,5609650,1,2018,TYGER NORTHERN SUBURBS
70091506,Additions and Alterations,Private,Non Residential,Other,"""Factory Extension,  Internal Al",1138,5596200,1,2011,BEACONVALE INDUSTRIA
70259308,Other Approvals,Private,Re-roofing,Other,New Roof,1400,5549920,1,2015,ELSIES RIVER INDUSTRIA
70304511,Additions and Alterations,Private,Non Residential,Shop Extension,,633,5538750,1,2016,TYGERVALLEY
70016676,Additions and Alterations,Private,Non Residential,Other,"""Factory Extension,  Internal Al",630,5512800,1,2012,PAROW
70294396,Residential,Private,Dwelling Houses,Other,"Dwelling, Wall, Pool",781,5507790,1,2016,TYGER NORTHERN SUBURBS
70185714,Residential,Private,Dwelling Houses,Other,"Dwelling, wall",810,5498580,1,2015,TYGER NORTHERN SUBURBS
70171602,Residential,Private,Block of Flats,Other,Block of flats,650,5382120,16,2014,PAROW
70499241,Residential,Private,Dwelling Houses,Dwelling,,748,5314390,1,2020,TYGER NORTHERN SUBURBS
70006301,Additions and Alterations,Private,Non Residential,Office Extension,Office Extension,966,5276400,1,2011,PAROW
70044063,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,5219500,1,2013,BELLVILLE
70434957,Other Approvals,Private,Patios,Other,"Patio, Internal Alterations",33,5144220,1,2019,TYGER NORTHERN SUBURBS
70417250,Additions and Alterations,Private,Non Residential,Office Extension,,575,5031250,1,2018,TYGERVALLEY
70444030,Other Approvals,Private,LP Gas,LP Gas,,0,5000000,1,2019,BELLVILLE
70473228,Additions and Alterations,Private,Internal Alterations,Other,Internal Alts_Shop & Retaining Wall,0,4858900,1,2019,TYGER NORTHERN SUBURBS
70486612,Additions and Alterations,Private,Non Residential,Other,Church Hall Extension,689,4836780,1,2020,PAROW
70397384,Additions and Alterations,Private,Non Residential,Factory Extension,,633,4721860,1,2018,ELSIES RIVER INDUSTRIA
70172764,Residential,Private,Dwelling Houses,Dwelling,,680,4660480,1,2015,TYGER NORTHERN SUBURBS
70016722,Non Residential,Private,Industrial Warehouse,Other,School Extension,740,4617600,1,2013,TYGER NORTHERN SUBURBS
70107453,Additions and Alterations,Private,Non Residential,Other,"""Additions, Internal Alterations",1306,4578040,1,2013,BEACONVALE INDUSTRIA
70460144,Additions and Alterations,Private,Town House/Flats/Other Residen,Other,Addition to Student Residence,552,4531920,1,2019,BELLVILLE
70111654,Non Residential,Private,Industrial Warehouse,Factory,,1100,4444000,1,2009,ELSIES RIVER INDUSTRIA
70435395,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Carport, Covered Entrance",626,4419560,1,2018,PAROW
70275112,Residential,Private,Dwelling Houses,Other,"Dwelling, Pool, Wall",620,4379200,1,2015,TYGER NORTHERN SUBURBS
70346993,Non Residential,Private,Shopping Space,Other,"Service Station Building, Canopy",710,4360000,1,2017,BELLVILLE
70121743,Additions and Alterations,Private,Non Residential,Office Extension,Office Extension,829,4356930,1,2008,BELLVILLE CBD
70121743,Additions and Alterations,Private,Non Residential,Office Extension,Office Extension,829,4356930,1,2008,BELLVILLE CBD
70121743,Additions and Alterations,Private,Non Residential,Office Extension,Office Extension,829,4356930,1,2008,BELLVILLE CBD
70186365,Additions and Alterations,Private,Non Residential,Other,New Music Class Rooms,648,4348080,1,2015,TYGER NORTHERN SUBURBS
70001382,Additions and Alterations,Private,Non Residential,Other,Extension to Tygerberg Micro Wave Tower,1237,4347000,1,2013,BELLVILLE
70376029,Additions and Alterations,Private,Non Residential,Office Extension,,468,4325360,1,2017,PAROW
70108640,Additions and Alterations,Private,Non Residential,Shop Extension,Shop Extension,969,4312050,1,2005,TYGERVALLEY
70242054,Residential,Private,Dwelling Houses,Dwelling,,572,4310760,1,2015,BELLVILLE
70245587,Residential,Private,Dwelling Houses,Other,"Dwelling, Pool, Wall",544,4291622,1,2015,TYGER NORTHERN SUBURBS
70041038,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,4288400,1,2013,PAROW
70245257,Additions and Alterations,Private,Non Residential,Other,Factory Extension,633,4247430,1,2015,BELLVILLE
70109890,Additions and Alterations,Private,Internal Alterations,Other,Internal Alterations to Reservoir,0,4222800,1,2014,GOODWOOD
70324464,Residential,Private,Dwelling Houses,Other,"Dwelling, Pool, Wall",588,4218630,1,2017,TYGER NORTHERN SUBURBS
70363520,Additions and Alterations,Private,Non Residential,Other,Storage Facility Extension,589,4199780,1,2017,TYGER NORTHERN SUBURBS
70298077,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,4173000,1,2016,TYGER NORTHERN SUBURBS
70507751,Additions and Alterations,Private,Non Residential,Other,Addition to UWC: Digital Hub to University,456,4149600,0,2020,PAROW
70276388,Residential,Private,Block of Flats,Flats,,495,4102800,5,2016,PAROW
70141078,Residential,Private,Dwelling Houses,Dwelling,,657,4093780,1,2014,PAROW
70364879,Additions and Alterations,Private,Non Residential,Other,Additions & Alterations to Goodwood Traffic Department,120,4092400,1,2017,GOODWOOD
70045444,Additions and Alterations,Private,Non Residential,Other,Storage Facility,739,4086670,1,2013,ELSIES RIVER INDUSTRIA
70041680,Additions and Alterations,Private,Non Residential,Other,"""Additions, Alterations""",1144,4084080,1,2013,PAROW EAST
70096136,Additions and Alterations,Private,Non Residential,Shop Extension,Shop Extension,914,4067300,1,2011,TYGER NORTHERN SUBURBS
70350597,Residential,Private,Dwelling Houses,Other,"Dwelling, Pool, Wall",577,4058340,1,2017,TYGER NORTHERN SUBURBS
70014432,Residential,Private,Dwelling Houses,Other,"""Dwelling,  Swimming pool, Canop",680,4044760,1,2012,TYGER NORTHERN SUBURBS
70279602,Residential,Private,Block of Flats,Other,Block of flats,474,4031540,6,2016,GOODWOOD
70486436,Additions and Alterations,Private,Non Residential,Other,Church Extension,569,3994380,1,2020,TYGER NORTHERN SUBURBS
70007634,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,3980000,1,2012,TYGERVALLEY
70283950,Residential,Private,Dwelling Houses,Dwelling,,559,3922780,1,2016,TYGER NORTHERN SUBURBS
